one,three,MW,lambdas,sigmas,q,bondlength,bondk,angle,anglek,omega,alpha
R,ARG,156.19,0.741,0.656,1.0,0.38,0.0,0.0,0.0,-2.0,0.0
D,ASP,115.09,0.093,0.558,-1.0,0.38,0.0,0.0,0.0,-2.0,0.0
N,ASN,114.1,0.371,0.568,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
E,GLU,129.11,0.0,0.592,-1.0,0.38,0.0,0.0,0.0,-2.0,0.0
K,LYS,128.17,0.138,0.636,1.0,0.38,0.0,0.0,0.0,-2.0,0.0
H,HIS,137.14,0.409,0.608,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
Q,GLN,128.13,0.314,0.602,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
S,SER,87.08,0.447,0.518,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
C,CYS,103.14,0.592,0.548,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
G,GLY,57.05,0.754,0.45,0.0,0.38,0.0,0.0,0.0,-0.5,0.0
T,THR,101.11,0.267,0.562,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
A,ALA,71.07,0.338,0.504,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
M,MET,131.2,0.517,0.618,0.0,0.38,0.0,0.0,0.0,1.1,0.0
Y,TYR,163.18,0.951,0.646,0.0,0.38,0.0,0.0,0.0,1.1,0.0
&,TYP,243.0,0.581,0.703,-1.97,0.38,0.0,0.0,0.0,-2.0,0.0
V,VAL,99.13,0.294,0.586,0.0,0.38,0.0,0.0,0.0,1.1,0.0
W,TRP,186.22,1.033,0.678,0.0,0.38,0.0,0.0,0.0,1.1,0.0
L,LEU,113.16,0.555,0.618,0.0,0.38,0.0,0.0,0.0,1.1,0.0
I,ILE,113.16,0.513,0.618,0.0,0.38,0.0,0.0,0.0,1.1,0.0
P,PRO,97.12,0.347,0.556,0.0,0.38,0.0,0.0,0.0,-2.0,0.0
F,PHE,147.18,0.891,0.636,0.0,0.38,0.0,0.0,0.0,1.1,0.0
B,SEB,88.08,0.447,0.588,0.0,0.442,8830.0,2.24,8.0,-2.0,0.0
O,CHO,87.16,0.437,0.65,1.0,0.402,2005.0,2.46,3.7,-1.0,0.0
J,PHO,108.99,0.5,0.578,-1.0,0.471,1894.0,3.125,6.5,-1.0,0.0
U,MID,143.12,0.469,0.507,0.0,0.465,2367.0,3.125,9.8,-0.5,0.0
Z,TPO,140.26,1.73,0.72,0.0,0.53,1156.0,3.125,4.9,1.2,0.0
X,TDO,148.94,1.65,0.73,0.0,0.52,1317.0,3.125,4.5,1.2,0.0
